Item:,Link:,Price (CAD):,,,Weight (g)
FC PCB,,2.83,,,3.9
FC PCBA,,236.5,,,
Frame,https://epicfpv.ca/products/hglrc-talon-frame-black,45.31,,,46
AneegFpv 45A ESC,https://www.aliexpress.com/item/1005009952151526.html,32.99,,,13
4x HappyModel EX1103S 1103 7000KV,https://www.aliexpress.com/item/1005006105578345.html,44.59,,,15.2
Propellers,https://www.aliexpress.com/item/1005006966517627.html,6.49,,,3.52
CADDX Ant FPV Lite Camera,https://www.aliexpress.com/item/1005009014299964.html,19.87,,,2
Zeus nano 350mW VTX,https://www.aliexpress.com/item/1005008558004179.html,35.58,,,2.4
Foxeer Lollipop 3 Micro Omni V4 RHCP Antenna,https://www.aliexpress.com/item/4001191873858.html,16.89,,,4.7
HappyModel 2.4G ELRS EP2 Reciever,https://www.aliexpress.com/item/1005009851731060.html,19.18,,,0.41
NewBeeDrone M10Q Micro GPS Module,https://newbeedrone.com/products/newbeedrone-m10q-micro-gps-module-with-compass,27.80,,,2.61
LiteRadio 2 ELRS,https://www.aliexpress.com/item/1005011890268150.html,31.18,,,
x4 2S 450mAh 80C lipo battery,https://www.aliexpress.com/item/1005006138925891.html,37.99,,,30
,,,,,
,Total USD,401.18,,Weight:,123.74